                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96086,                 5.5427,                 1.2987,                0.00226,                0.06672,                0.00166,                0.00153,                0.59369,                 5.0012,                 1.0587,               0.003303,               0.003303,               0.003303
                      2,                0.81674,                 5.0858,                 1.2466,                0.00295,                0.24849,                0.00295,                0.00251,                0.68554,                 4.5245,                 1.2059,              0.0066298,              0.0066298,              0.0066298
                      3,                0.85095,                  4.458,                 1.2934,                0.00661,                0.43338,                0.01512,                 0.0129,                  0.659,                 3.9974,                 1.1708,                0.00995,                0.00995,                0.00995
                      4,                0.79952,                  3.898,                 1.2502,                0.71455,                0.05354,                0.02935,                0.02565,                0.65201,                 4.5315,                 1.2386,              0.0099703,              0.0099703,              0.0099703
                      5,                0.75516,                 3.5058,                 1.2339,                0.64845,                  0.079,                0.06677,                0.05881,                0.53329,                 3.8618,                 1.1313,              0.0099604,              0.0099604,              0.0099604
                      6,                0.73392,                 3.1561,                 1.2249,                0.24234,                0.22339,                0.17794,                  0.162,                0.50775,                 3.2062,                 1.1016,              0.0099505,              0.0099505,              0.0099505
                      7,                0.70896,                 2.8335,                 1.2105,                0.42814,                0.11266,                 0.1058,                0.09276,                0.50355,                 3.9467,                 1.0891,              0.0099406,              0.0099406,              0.0099406
                      8,                0.69362,                 2.5841,                 1.1996,                0.02325,                0.23955,                0.05907,                0.04742,                0.66439,                 4.7939,                  1.253,              0.0099307,              0.0099307,              0.0099307
                      9,                0.67304,                 2.3588,                 1.1862,                0.69368,                0.07144,                0.10123,                0.08466,                0.60186,                 4.3141,                 1.1908,              0.0099208,              0.0099208,              0.0099208
                     10,                0.66402,                 2.2102,                 1.1799,                0.02474,                0.21609,                0.05071,                0.03969,                 0.6283,                 4.9919,                 1.2358,              0.0099109,              0.0099109,              0.0099109
                     11,                0.65789,                 2.0855,                 1.1712,                0.02387,                0.12318,                0.03436,                 0.0256,                0.82135,                 5.2425,                 1.3409,               0.009901,               0.009901,               0.009901
                     12,                0.65032,                  1.999,                 1.1695,                0.02319,                 0.1586,                0.03659,                0.02925,                0.70319,                 5.0016,                 1.2763,              0.0098911,              0.0098911,              0.0098911
                     13,                0.64264,                 1.9185,                 1.1629,                0.54948,                 0.3801,                0.43772,                0.39419,                0.50316,                 2.4602,                 1.0965,              0.0098812,              0.0098812,              0.0098812
                     14,                0.64478,                 1.8643,                  1.166,                0.61847,                0.10842,                0.13433,                0.11028,                0.65263,                 4.2691,                  1.207,              0.0098713,              0.0098713,              0.0098713
                     15,                0.62868,                 1.7834,                 1.1529,                0.57191,                0.07967,                0.10226,                0.08768,                0.63554,                  4.376,                 1.2108,              0.0098614,              0.0098614,              0.0098614
                     16,                 0.6308,                 1.7527,                 1.1521,                 0.5521,                0.12896,                0.17316,                0.14792,                0.57554,                 4.0253,                 1.1895,              0.0098515,              0.0098515,              0.0098515
                     17,                 0.6213,                 1.7107,                 1.1482,                0.47042,                0.09002,                0.11722,                0.09842,                0.60299,                 4.1698,                 1.1734,              0.0098416,              0.0098416,              0.0098416
                     18,                0.62059,                 1.6769,                 1.1477,                0.04422,                0.18701,                 0.0656,                0.04795,                0.79754,                  5.117,                 1.3457,              0.0098317,              0.0098317,              0.0098317
                     19,                0.61664,                  1.651,                  1.146,                0.48259,                0.13445,                0.16225,                0.13381,                0.69217,                  4.036,                 1.2878,              0.0098218,              0.0098218,              0.0098218
                     20,                0.61254,                 1.6148,                 1.1422,                0.59661,                0.41525,                0.49044,                0.42938,                0.50938,                  2.264,                 1.1077,              0.0098119,              0.0098119,              0.0098119
